ip,cn,id,name,country,dns,port_forward,protocol,offline
154.6.84.8,westvirginia401,us_west_virginia-pf,US West Virginia,US,us-west-virginia-pf.privacy.network,False,ovpnudp,
154.6.84.18,westvirginia401,us_west_virginia-pf,US West Virginia,US,us-west-virginia-pf.privacy.network,False,wg,
172.98.68.30,montreal409,ca,CA Montreal,CA,ca-montreal.privacy.network,True,ikev2,
172.98.82.58,montreal409,ca,CA Montreal,CA,ca-montreal.privacy.network,True,meta,
172.98.68.17,montreal409,ca,CA Montreal,CA,ca-montreal.privacy.network,True,ovpntcp,
172.98.68.10,montreal409,ca,CA Montreal,CA,ca-montreal.privacy.network,True,ovpnudp,
172.98.68.37,montreal409,ca,CA Montreal,CA,ca-montreal.privacy.network,True,wg,
188.126.94.52,copenhagen405,denmark_2,DK Streaming Optimized,DK,denmark-2.privacy.network,True,ikev2,
188.126.94.34,copenhagen405,denmark_2,DK Streaming Optimized,DK,denmark-2.privacy.network,True,meta,
188.126.94.51,copenhagen405,denmark_2,DK Streaming Optimized,DK,denmark-2.privacy.network,True,ovpntcp,
188.126.94.45,copenhagen405,denmark_2,DK Streaming Optimized,DK,denmark-2.privacy.network,True,ovpnudp,
188.126.94.54,copenhagen405,denmark_2,DK Streaming Optimized,DK,denmark-2.privacy.network,True,wg,
191.96.67.99,houston422,us_houston,US Houston,US,us-houston.privacy.network,False,ikev2,
191.96.67.91,houston422,us_houston,US Houston,US,us-houston.privacy.network,False,meta,
191.96.67.104,houston422,us_houston,US Houston,US,us-houston.privacy.network,False,ovpntcp,
191.96.67.115,houston422,us_houston,US Houston,US,us-houston.privacy.network,False,ovpnudp,
191.96.67.96,houston422,us_houston,US Houston,US,us-houston.privacy.network,False,wg,
154.47.20.55,tokyo403,japan,JP Tokyo,JP,japan.privacy.network,True,ikev2,
154.47.20.1,tokyo403,japan,JP Tokyo,JP,japan.privacy.network,True,meta,
154.47.20.26,tokyo403,japan,JP Tokyo,JP,japan.privacy.network,True,ovpntcp,
154.47.20.59,tokyo403,japan,JP Tokyo,JP,japan.privacy.network,True,ovpnudp,
154.47.20.42,tokyo403,japan,JP Tokyo,JP,japan.privacy.network,True,wg,
154.6.12.136,maine401,us_maine-pf,US Maine,US,us-maine-pf.privacy.network,False,ikev2,
154.6.12.130,maine401,us_maine-pf,US Maine,US,us-maine-pf.privacy.network,False,meta,
154.6.12.139,maine401,us_maine-pf,US Maine,US,us-maine-pf.privacy.network,False,ovpntcp,
154.6.12.149,maine401,us_maine-pf,US Maine,US,us-maine-pf.privacy.network,False,ovpnudp,
154.6.12.144,maine401,us_maine-pf,US Maine,US,us-maine-pf.privacy.network,False,wg,
154.6.91.141,northdakota401,us_north_dakota-pf,US North Dakota,US,us-north-dakota-pf.privacy.network,False,ikev2,
154.6.91.130,northdakota401,us_north_dakota-pf,US North Dakota,US,us-north-dakota-pf.privacy.network,False,meta,
154.6.91.137,northdakota401,us_north_dakota-pf,US North Dakota,US,us-north-dakota-pf.privacy.network,False,ovpntcp,
154.6.91.138,northdakota401,us_north_dakota-pf,US North Dakota,US,us-north-dakota-pf.privacy.network,False,ovpnudp,
154.6.91.138,northdakota401,us_north_dakota-pf,US North Dakota,US,us-north-dakota-pf.privacy.network,False,wg,
166.0.218.196,mumbai414,in,India,IN,in.privacy.network,True,ikev2,
166.0.218.129,mumbai414,in,India,IN,in.privacy.network,True,meta,
166.0.218.202,mumbai414,in,India,IN,in.privacy.network,True,ovpntcp,
166.0.218.204,mumbai414,in,India,IN,in.privacy.network,True,ovpnudp,
166.0.218.204,mumbai414,in,India,IN,in.privacy.network,True,wg,
154.6.94.4,rhodeisland401,us_rhode_island-pf,US Rhode Island,US,us-rhode-island-pf.privacy.network,False,ikev2,
154.6.94.2,rhodeisland401,us_rhode_island-pf,US Rhode Island,US,us-rhode-island-pf.privacy.network,False,meta,
154.6.94.11,rhodeisland401,us_rhode_island-pf,US Rhode Island,US,us-rhode-island-pf.privacy.network,False,ovpntcp,
154.6.94.16,rhodeisland401,us_rhode_island-pf,US Rhode Island,US,us-rhode-island-pf.privacy.network,False,ovpnudp,
154.6.94.21,rhodeisland401,us_rhode_island-pf,US Rhode Island,US,us-rhode-island-pf.privacy.network,False,wg,
181.214.218.39,brussels418,belgium,Belgium,BE,brussels.privacy.network,True,ikev2,
181.214.218.3,brussels418,belgium,Belgium,BE,brussels.privacy.network,True,meta,
181.214.218.35,brussels418,belgium,Belgium,BE,brussels.privacy.network,True,ovpntcp,
181.214.218.39,brussels418,belgium,Belgium,BE,brussels.privacy.network,True,ovpnudp,
181.214.218.34,brussels418,belgium,Belgium,BE,brussels.privacy.network,True,wg,
154.6.83.144,virginia401,us_virginia-pf,US Virginia,US,us-virginia-pf.privacy.network,False,ikev2,
154.6.83.130,virginia401,us_virginia-pf,US Virginia,US,us-virginia-pf.privacy.network,False,meta,
154.6.83.138,virginia401,us_virginia-pf,US Virginia,US,us-virginia-pf.privacy.network,False,ovpntcp,
154.6.83.146,virginia401,us_virginia-pf,US Virginia,US,us-virginia-pf.privacy.network,False,ovpnudp,
154.6.83.146,virginia401,us_virginia-pf,US Virginia,US,us-virginia-pf.privacy.network,False,wg,
165.231.182.68,talinn401,ee,Estonia,EE,ee.privacy.network,True,ikev2,
165.231.182.55,talinn401,ee,Estonia,EE,ee.privacy.network,True,meta,
165.231.182.63,talinn401,ee,Estonia,EE,ee.privacy.network,True,ovpntcp,
165.231.182.58,talinn401,ee,Estonia,EE,ee.privacy.network,True,ovpnudp,
165.231.182.68,talinn401,ee,Estonia,EE,ee.privacy.network,True,wg,
